COUNTRY, ORG, INETNUM, DESCR, NETNAME, ORG_TYPE, ORG_NAME, AS_NUMBER, AS_DESCR
IT,NULL,80.16.151.184/29,"TELECOM ITALIA LAB SPA","NETECONOMY-MG41731",NULL,NULL,NULL,NULL
IT,NULL,80.16.151.180/30,"TELECOM ITALIA LAB SPA","NETECONOMY-MG41731",NULL,NULL,NULL,NULL
IT,NULL,80.16.85.128/28,"VERO INTERNATIONAL SOFTWARE SRL","VEROINTERNATIONALSOFTWARESRL",NULL,NULL,NULL,NULL
FR,NULL,194.206.161.47/32,"Bourg en Bresse","FR-RPN-HOLDING",NULL,NULL,NULL,NULL
DK,ORG-EA44-RIPE,213.159.160.0/19,NULL,"SE-ERICSSON-20010504","LIR","Telefonaktiebolaget L M Ericsson","AS3292","Ericsson Denmark Network"
GR,NULL,194.219.52.224/28,"Kallithea","FORTHNET-NOC-KLI",NULL,NULL,NULL,NULL
GB,NULL,217.204.110.64/26,"Radisson Edwardian Hotels - radisson-gw","RADISSON-EDWARDIAN",NULL,NULL,NULL,NULL
GB,NULL,213.249.146.192/26,"IMServ Europe 2Mb LAN","IMSERV2-KCOM",NULL,NULL,NULL,NULL
SI,NULL,194.249.198.0/25,"ARNES-ID 2623","TP-LJ-NET",NULL,NULL,NULL,NULL
IT,NULL,217.141.234.232/29,"INNOTEC","INNOTEC",NULL,NULL,NULL,NULL
IT,NULL,217.57.242.200/30,"IST SAL B SEM RADIO PROPOSTA","NETECONOMY-MG38638",NULL,NULL,NULL,NULL
CH,NULL,195.144.37.128/29,"Mies, Switzerland","THEOREME-NET",NULL,NULL,NULL,NULL
DE,NULL,62.27.21.0/24,"50974 Koeln","TIS-D402292-NET",NULL,NULL,NULL,NULL
UA,NULL,212.82.218.48/28,"Kiev, 04050","HEALTH-GTUA",NULL,NULL,NULL,NULL
NL,NULL,212.63.174.183/32,"Remote connection to SAP","SAP-KLPD-I21-NL",NULL,NULL,NULL,NULL
IT,NULL,217.141.187.32/30,"SCUOLE PUBBLICHE SCUOLE MEDIE","NETECONOMY-MG38594",NULL,NULL,NULL,NULL
NO,NULL,213.225.111.0/26,"PM-International","NO-SONG-TRH-PMI",NULL,NULL,NULL,NULL
GB,NULL,62.49.99.224/30,"DEMON ADSL CUSTOMER","RBRN-ADSL",NULL,NULL,NULL,NULL
DE,NULL,217.5.150.224/29,"Clemens Bruentrup","CLEMENS-BRUENTRUP-NET",NULL,NULL,NULL,NULL
AT,NULL,212.152.165.136/29,"Thyssen Austria TI","UTA-200205357",NULL,NULL,NULL,NULL
